,Description,Category,Unit of measure,P-value,Scoring method,Higher = Better,SVN,AUT,DEU,Δ AUT,Δ DEU
SH.DYN.0509,"Probability of dying among children ages 5-9 years (per 1,000)",Health,,0.0,L,0,0.36249999999999993,0.37499999999999994,0.39999999999999997,0.03125000000000003,0.0937500000000001
ilc.sis4,Mean number of deprivation items among the deprived - Economic strain and durables dimension - EU-SILC survey,Socioeconomics,%,0.0,L,0,3.5333333333333337,3.6222222222222222,3.544444444444445,0.02453987730061341,0.0030674846625767986
ilc.di11d,Income quintile share ratio S80/S50 for disposable income by sex and age group - EU-SILC survey,Socioeconomics,ratio,0.0,L,1,1.8144444444444447,2.006666666666667,2.15,-0.0894056847545219,-0.15607235142118844
ilc.mddd13,Severe material deprivation rate by income quintile and household type,Socioeconomics,%,0.0,L,0,5.000000000000001,3.4000000000000004,4.2333333333333325,-0.32000000000000006,-0.15333333333333365
SH.DYN.1014,"Probability of dying among adolescents ages 10-14 years (per 1,000)",Health,,0.0,L,0,0.45,0.475,0.4125,0.052631578947368356,-0.07894736842105271
ilc.mddd17,Severe material deprivation rate by tenure status,Socioeconomics,%,0.0,L/F,0,5.000000000000001,3.4000000000000004,4.2333333333333325,-0.32000000000000006,-0.15333333333333365
isoc.ci.in.h,Households -  level of internet access,Socioeconomics,% of households,0.0,L,1,81.22222222222223,85.11111111111111,91.33333333333333,-0.04257907542579072,-0.11070559610705584
isoc.r.iacc.h,Households with access to the internet at home,Socioeconomics,% of households,0.0,L,1,81.22222222222223,85.11111111111111,91.33333333333333,-0.04257907542579072,-0.11070559610705584
ilc.mddd11,Severe material deprivation rate by age and sex. Unit is Percentage %,Socioeconomics,%,0.0,L,0,5.000000000000001,3.4000000000000004,4.2333333333333325,-0.32000000000000006,-0.15333333333333365
ilc.mdes01,Inability to keep home adequately warm - EU-SILC survey,Socioeconomics,%,0.0,L/F,0,4.366666666666666,2.411111111111111,4.244444444444444,-0.4478371501272264,-0.027989821882951762
SI.DST.10TH.10,Income share held by highest 10%,Socioeconomics,,2.2471910112359552e-05,F,0,20.971428571428568,23.785714285714285,24.479999999999997,0.11496265172735773,0.14332399626517275
lfso.16elvncom,"Early leavers from education and training who started but never completed upper secondary education by sex, age and reason for not completing",Socioeconomics,number in thousands,0.00015730337078651685,R,0,3.6,19.5,53.2,0.2988721804511278,0.9323308270676691
ilc.mdho07,Persons who cannot afford to replace worn-out furniture by income group and type of household,Socioeconomics,%,0.0014606741573033708,F,0,17.37142857142857,8.257142857142856,13.071428571428571,-0.524671052631579,-0.24753289473684206
SI.DST.03RD.20,Income share held by third 20%,Socioeconomics,,0.0020224719101123597,F,0,18.185714285714287,17.514285714285716,17.04,-0.03692065985860169,-0.06300078554595455
WJQ.LHI,"Work and Job Quality, Long hours in paid work",Jobs,%,0.0033707865168539327,R,0,4.851097765267762,6.89698431658443,4.557337375081904,0.2966349432457235,-0.04259258491852516
HH.HA,"Housing, Housing affordability",Socioeconomics,%,0.004426966292134831,R,1,81.04675366817206,79.09256020211966,79.29855246031337,0.024111927715864023,0.021570280470656563
SAF.H,"Safety, Homicides",Safety,average per 100k population,0.0057752808988764046,R,0,0.7500000000000001,0.4875,0.4375,-0.3500000000000001,-0.41666666666666674
SCO.SS,"Social connections, Social support",Socioeconomics,"share of people who answered ""yes"" to the question:  “If you were in trouble, do you have relatives or friends you can count on to help you whenever you need them, or not?”",0.007235955056179775,R,1,92.48509882191473,91.79564735419726,90.4832738083328,0.007454730291687887,0.021644838347813875
SAF.FSA,"Safety, Feeling safe at night",Safety,%,0.007662921348314607,F,1,86.56819560749388,82.30404616554726,74.55020778937431,0.04925769114191267,0.13882682587736891
WJQ.LMI,"Work and Job Quality, Labour market insecurity",Jobs,%,0.008696629213483145,R,0,7.621365547180176,1.9849226474761958,1.797477674484254,-0.7395581362436294,-0.7641528065598032
IW.HW,"Income and Wealth, Household wealth",Socioeconomics,$,0.008741573033707865,R,1,137323.0,105381.0,85860.0,0.23260488046430677,0.3747587803936704
ilc.mdes08,Arrears on hire purchase instalments or other loan payments - EU-SILC survey,Socioeconomics,%,0.010808988764044944,F,0,3.2111111111111112,1.6,1.4000000000000001,-0.5017301038062284,-0.5640138408304498
educ.uoe.enra29,"Out-of-school rate in population of upper secondary school age, by sex",Socioeconomics,%,0.010853932584269662,R,0,3.5866666666666664,7.375,10.57,0.358404288867865,0.6606748659728793
WJQ.ER,"Work and Job Quality, Employment rate",Jobs,%,0.013123595505617978,R,1,73.77126564976635,76.00743356652339,80.0740523141029,-0.027926248917506065,-0.07871197325711571
SAF.RD,"Safety, Road deaths",Safety,average per 100k population,0.015617977528089888,R,0,5.322951953269699,5.023716869951489,3.9687036022434885,-0.05621600306469064,-0.25441679032897235
ilc.di12,Gini coefficient of equivalised disposable income - EU-SILC survey,Socioeconomics,,0.017146067415730337,F,1,32.370370370370374,36.0074074074074,40.48888888888889,-0.08982802780826901,-0.2005122575923892
SP.DYN.AMRT.FE,"Mortality rate, adult, female (per 1,000 female adults)",Health,,0.03,F,0,46.31516666666667,44.7175,50.030499999999996,-0.031933853682587,0.07426136723265461
SP.DYN.TO65.FE.ZS,"Survival to age 65, female (% of cohort)",Health,,0.03208988764044944,F,1,92.421936225,92.40728995,91.95876012500001,0.00015847184768271532,0.005011538590496394
